code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sh.600010,2018-04-27,2018-03-31,0.480244,0.229915,0.096537,0.017322,0.657597,2.920532
sh.600010,2018-08-29,2018-06-30,0.505834,0.274574,0.129646,0.019000,0.654137,2.891322
sh.600010,2018-10-31,2018-09-30,0.538333,0.289431,0.104243,0.003880,0.648152,2.842135
sh.600010,2019-04-19,2018-12-31,0.561392,0.300930,0.146960,-0.010036,0.646037,2.825157
sh.600010,2019-04-30,2019-03-31,0.532483,0.254115,0.136269,-0.058381,0.630377,2.705460
sh.600010,2019-08-28,2019-06-30,0.553269,0.262762,0.132038,-0.049817,0.628685,2.693128
sh.600010,2019-10-30,2019-09-30,0.630048,0.310415,0.174349,-0.011950,0.637021,2.754977
sh.600010,2020-04-30,2019-12-31,0.607225,0.315417,0.172985,-0.104290,0.585406,2.411997
sh.600010,2020-04-30,2020-03-31,0.595051,0.282181,0.129488,-0.098573,0.573952,2.347153
sh.600010,2020-08-31,2020-06-30,0.589671,0.297952,0.151566,-0.131313,0.564740,2.297475
sh.600010,2020-10-30,2020-09-30,0.637953,0.329741,0.140895,-0.135010,0.571798,2.335344
sh.600010,2021-04-30,2020-12-31,0.682397,0.359732,0.151928,-0.040652,0.572762,2.340613
sh.600010,2021-04-30,2021-03-31,0.736060,0.420349,0.194100,0.062971,0.581310,2.388404
sh.600010,2021-08-27,2021-06-30,0.740904,0.421681,0.209132,0.120296,0.579409,2.377606
sh.600010,2021-10-30,2021-09-30,0.673505,0.375868,0.162741,0.058343,0.569414,2.322416
sh.600010,2022-04-15,2021-12-31,0.625594,0.333157,0.167783,0.014045,0.566104,2.304697
sh.600010,2022-04-28,2022-03-31,0.647529,0.357711,0.164333,-0.018889,0.569396,2.322317
sh.600010,2022-08-26,2022-06-30,0.666707,0.381669,0.173058,0.000754,0.584397,2.406140
sh.600010,2022-10-28,2022-09-30,0.617066,0.358789,0.183891,-0.009506,0.580896,2.386041
sh.600010,2023-04-22,2022-12-31,0.564601,0.307709,0.164549,0.018647,0.581556,2.389808
sh.600010,2023-04-28,2023-03-31,0.563474,0.315656,0.140272,0.021305,0.585890,2.414816
sh.600010,2023-08-25,2023-06-30,0.627185,0.400832,0.165892,0.046999,0.601723,2.510817
sh.600010,2023-10-27,2023-09-30,0.620623,0.377428,0.121962,0.070954,0.599176,2.494863
sh.600019,2018-04-28,2018-03-31,0.859048,0.577349,0.133179,-0.150168,0.491619,1.967027
sh.600019,2018-08-28,2018-06-30,0.829711,0.587651,0.154763,-0.096042,0.498890,1.995568
sh.600019,2018-10-30,2018-09-30,0.872896,0.591360,0.146109,-0.074371,0.475976,1.908310
sh.600019,2019-04-25,2018-12-31,0.900867,0.589507,0.142414,-0.169927,0.435326,1.770934
sh.600019,2019-04-25,2019-03-31,0.957833,0.615545,0.143394,-0.142560,0.437499,1.777774
sh.600019,2019-08-23,2019-06-30,0.920948,0.599413,0.132890,-0.113430,0.458085,1.845307
sh.600019,2019-10-26,2019-09-30,0.936136,0.614320,0.146643,-0.057352,0.455576,1.836803
sh.600019,2020-04-29,2019-12-31,0.984748,0.680798,0.101359,0.014652,0.436993,1.776175
sh.600019,2020-04-29,2020-03-31,1.029251,0.665674,0.163366,0.030046,0.443872,1.798146
sh.600019,2020-08-28,2020-06-30,1.038176,0.735700,0.160262,0.044007,0.460199,1.852536
sh.600019,2020-10-30,2020-09-30,1.076565,0.762415,0.139736,0.029190,0.453418,1.829551
sh.600019,2021-04-27,2020-12-31,1.134196,0.829313,0.130833,0.016811,0.439280,1.783420
sh.600019,2021-04-27,2021-03-31,1.166803,0.800897,0.140527,0.079512,0.445628,1.803841
sh.600019,2021-08-28,2021-06-30,1.090260,0.770740,0.185285,0.061160,0.453531,1.829931
sh.600019,2021-10-30,2021-09-30,1.130367,0.784838,0.199876,0.191318,0.479047,1.919559
sh.600019,2022-04-29,2021-12-31,1.086979,0.726799,0.171501,0.081137,0.446052,1.805223
sh.600019,2022-04-29,2022-03-31,1.147575,0.779181,0.180358,0.088937,0.456059,1.838434
sh.600019,2022-08-31,2022-06-30,1.289322,0.892994,0.232519,0.118405,0.473201,1.898258
sh.600019,2022-10-26,2022-09-30,1.246788,0.885777,0.205660,-0.048120,0.458671,1.847307
sh.600019,2023-04-28,2022-12-31,1.214609,0.895068,0.186994,0.074822,0.457936,1.844801
sh.600019,2023-04-28,2023-03-31,1.278738,0.885343,0.179518,-0.028305,0.445730,1.804175
sh.600019,2023-08-31,2023-06-30,1.378925,0.968759,0.329110,-0.165004,0.427130,1.745597
sh.600019,2023-10-25,2023-09-30,1.347790,0.952530,0.318869,-0.124446,0.424010,1.736140
sh.600022,2018-04-27,2018-03-31,0.754890,0.614865,0.276215,0.283007,0.527480,2.116311
sh.600022,2018-08-17,2018-06-30,0.722026,0.600065,0.281229,0.529136,0.562998,2.288322
sh.600022,2018-10-30,2018-09-30,0.847630,0.712102,0.244447,0.399195,0.565680,2.302452
sh.600022,2019-03-29,2018-12-31,0.814404,0.645863,0.301728,0.372059,0.594951,2.468837
sh.600022,2019-04-26,2019-03-31,0.786940,0.621681,0.213714,0.335697,0.582843,2.397178
sh.600022,2019-08-23,2019-06-30,0.771429,0.607177,0.185415,0.181452,0.592636,2.454806
