code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sh.600010,2018-04-27,2018-03-31,0.284305,0.715695,0.320541,2.216484,0.103068,2.105863,0.103068
sh.600010,2018-08-29,2018-06-30,0.291748,0.708252,0.324292,2.433557,0.059693,1.333477,0.059693
sh.600010,2018-10-31,2018-09-30,0.297168,0.702832,0.330423,2.629834,0.102032,2.131594,0.102032
sh.600010,2019-04-19,2018-12-31,0.301355,0.698645,0.331945,3.125569,0.106400,2.147057,0.106400
sh.600010,2019-04-30,2019-03-31,0.280232,0.719768,0.346782,1.955660,0.012714,0.351106,0.012714
sh.600010,2019-08-28,2019-06-30,0.288420,0.711580,0.348757,2.515628,-0.005919,-0.172014,-0.005919
sh.600010,2019-10-30,2019-09-30,0.306001,0.693999,0.340318,1.899302,-0.020176,-0.792750,-0.020176
sh.600010,2020-04-30,2019-12-31,0.280917,0.719083,0.332924,1.905469,-0.006102,-0.432662,-0.006102
sh.600010,2020-04-30,2020-03-31,0.262182,0.737818,0.341281,0.671994,-0.099539,,-0.099539
sh.600010,2020-08-31,2020-06-30,0.251140,0.748860,0.348250,1.447393,0.024433,3.514875,0.024433
sh.600010,2020-10-30,2020-09-30,0.266461,0.733539,0.342067,1.160187,0.048837,5.881630,0.048837
sh.600010,2021-04-30,2020-12-31,0.271376,0.728624,0.339362,1.462407,0.065358,5.854225,0.065358
sh.600010,2021-04-30,2021-03-31,0.300512,0.699488,0.333741,2.658088,0.075233,1.519602,0.075233
sh.600010,2021-08-27,2021-06-30,0.311878,0.688122,0.339596,5.105821,0.113692,1.430492,0.113692
sh.600010,2021-10-30,2021-09-30,0.307669,0.692331,0.348599,3.640108,0.131060,1.967535,0.131060
sh.600010,2022-04-15,2021-12-31,0.281233,0.718767,0.349013,3.221502,0.127338,3.464627,0.127338
sh.600010,2022-04-28,2022-03-31,0.289166,0.710834,0.347148,1.537841,0.047018,3.935480,0.047018
sh.600010,2022-08-26,2022-06-30,0.298974,0.701026,0.337983,1.484362,0.041261,7.722607,0.041261
sh.600010,2022-10-28,2022-09-30,0.273082,0.726918,0.339320,0.216682,0.021884,,0.021884
sh.600010,2023-04-22,2022-12-31,0.260913,0.739087,0.332876,0.357057,0.028638,,0.028638
sh.600010,2023-04-28,2023-03-31,0.266382,0.733618,0.331138,1.413728,0.017888,5.144797,0.017888
sh.600010,2023-08-25,2023-06-30,0.289306,0.710694,0.318977,1.451839,-0.029520,-15.841768,-0.029520
sh.600010,2023-10-27,2023-09-30,0.280179,0.719821,0.321714,1.150808,-0.020784,-27.117069,-0.020784
sh.600019,2018-04-28,2018-03-31,0.388960,0.611040,0.430268,29.694430,0.053236,0.648840,0.053163
sh.600019,2018-08-28,2018-06-30,0.388635,0.611365,0.420656,10.083986,0.131077,1.785998,0.130911
sh.600019,2018-10-30,2018-09-30,0.383347,0.616653,0.439891,6.835245,0.163110,2.138988,0.162893
sh.600019,2019-04-25,2018-12-31,0.358323,0.641677,0.476320,10.800655,0.149636,1.959179,0.149428
sh.600019,2019-04-25,2019-03-31,0.376129,0.623871,0.475628,7.624665,0.020727,0.459838,0.020695
sh.600019,2019-08-23,2019-06-30,0.378801,0.621199,0.454431,8.482589,0.066990,1.409176,0.066890
sh.600019,2019-10-26,2019-09-30,0.383305,0.616695,0.457206,7.241071,0.090349,2.037156,0.090210
sh.600019,2020-04-29,2019-12-31,0.384428,0.615572,0.473796,7.800262,0.101182,2.190520,0.101022
sh.600019,2020-04-29,2020-03-31,0.401024,0.598976,0.468565,6.188585,0.060751,2.063068,0.060616
sh.600019,2020-08-28,2020-06-30,0.423090,0.576910,0.450569,8.314523,0.084164,2.431058,0.083910
sh.600019,2020-10-30,2020-09-30,0.428482,0.571518,0.457931,11.080061,0.085333,1.954407,0.085092
sh.600019,2021-04-27,2020-12-31,0.411010,0.588991,0.468111,10.779954,0.099002,2.008110,0.098736
sh.600019,2021-04-27,2021-03-31,0.420636,0.579364,0.462235,19.836319,0.167807,2.320291,0.167380
sh.600019,2021-08-28,2021-06-30,0.429813,0.570187,0.456005,26.431780,0.152070,1.680367,0.151691
sh.600019,2021-10-30,2021-09-30,0.451760,0.548240,0.427708,25.038973,0.106050,1.224438,0.105773
sh.600019,2022-04-29,2021-12-31,0.392629,0.607371,0.454713,18.368510,0.164317,2.263044,0.163871
sh.600019,2022-04-29,2022-03-31,0.423864,0.576136,0.446506,13.044843,0.103498,2.039908,0.103161
sh.600019,2022-08-31,2022-06-30,0.457286,0.542714,0.430169,15.337044,0.079223,1.611065,0.078964
sh.600019,2022-10-26,2022-09-30,0.427546,0.572454,0.444399,12.445817,0.085752,2.171662,0.085461
sh.600019,2023-04-28,2022-12-31,0.439144,0.560856,0.441650,11.922983,0.121592,3.187628,0.121171
sh.600019,2023-04-28,2023-03-31,0.440422,0.559578,0.452703,10.612659,-0.067724,-2.440348,-0.067480
sh.600019,2023-08-31,2023-06-30,0.406725,0.593275,0.475240,12.747020,0.036725,1.192717,0.036646
sh.600019,2023-10-25,2023-09-30,0.413658,0.586342,0.478315,19.023059,0.051979,1.370950,0.051904
sh.600022,2018-04-27,2018-03-31,0.350049,0.649951,0.244183,6.874182,-0.010586,-0.198650,-0.010586
sh.600022,2018-08-17,2018-06-30,0.357764,0.642236,0.231290,10.449303,0.046074,0.662819,0.046074
sh.600022,2018-10-30,2018-09-30,0.373157,0.626843,0.234379,8.912005,0.061926,0.965845,0.061926
sh.600022,2019-03-29,2018-12-31,0.372889,0.627111,0.211367,5.928951,0.071091,1.699507,0.071091
sh.600022,2019-04-26,2019-03-31,0.338027,0.661973,0.219093,1.907716,-0.069071,-5.949610,-0.069071
sh.600022,2019-08-23,2019-06-30,0.330347,0.669653,0.215483,3.581605,-0.006149,-0.269714,-0.006149
sh.600022,2019-10-30,2019-09-30,0.324175,0.675825,0.214469,2.503333,0.038014,2.712563,0.038014
sh.600022,2020-03-20,2019-12-31,0.280086,0.719914,0.224999,2.236728,0.063504,4.984804,0.063504
sh.600022,2020-04-29,2020-03-31,0.296589,0.703411,0.218426,2.010204,-0.034589,-4.276369,-0.034589
sh.600022,2020-08-28,2020-06-30,0.285658,0.714342,0.225737,3.404270,0.073116,4.520678,0.073116
sh.600022,2020-10-30,2020-09-30,0.280796,0.719204,0.232082,3.371394,0.065959,3.651149,0.065959
sh.600022,2021-03-31,2020-12-31,0.263776,0.736224,0.232429,3.908997,0.067091,3.708569,0.067091
sh.600022,2021-04-29,2021-03-31,0.303927,0.696073,0.226035,6.439580,0.143811,3.954478,0.143811
sh.600022,2021-08-27,2021-06-30,0.320643,0.679357,0.234569,14.367611,0.116384,2.135844,0.116384
sh.600022,2021-10-29,2021-09-30,0.313615,0.686385,0.243746,10.587916,0.064694,1.283376,0.064694
sh.600022,2022-03-23,2021-12-31,0.276954,0.723046,0.226968,8.925857,0.076355,2.857898,0.076355
sh.600022,2022-04-29,2022-03-31,0.279200,0.720800,0.230264,10.107761,0.042313,1.144930,0.042313
sh.600022,2022-08-31,2022-06-30,0.271908,0.728092,0.234084,14.196616,0.098086,2.946586,0.098086
sh.600022,2022-10-29,2022-09-30,0.235263,0.764737,0.235431,5.076244,0.057832,4.589057,0.057832
sh.600022,2023-03-31,2022-12-31,0.234378,0.765622,0.237231,4.618116,0.053367,3.851189,0.053367
sh.600022,2023-04-28,2023-03-31,0.234188,0.765812,0.231919,-1.921255,-0.071895,,-0.071895
sh.600022,2023-08-31,2023-06-30,0.231484,0.768516,0.212287,0.858666,-0.007260,,-0.007260
sh.600022,2023-10-28,2023-09-30,0.219461,0.780539,0.214570,0.781335,-0.002574,,-0.002574
sh.600117,2018-04-28,2018-03-31,0.281624,0.718376,0.093490,1.098563,-0.150252,-18.558318,-0.150252
sh.600117,2018-08-30,2018-06-30,0.274612,0.725388,0.093986,1.038061,0.006062,2.471799,0.006062
sh.600117,2018-10-31,2018-09-30,0.294842,0.705158,0.068918,-0.033751,-0.066724,,-0.066724
sh.600117,2019-04-29,2018-12-31,0.296521,0.703479,0.011868,-1.944837,-0.034775,,-0.034775
sh.600117,2019-04-30,2019-03-31,0.375667,0.624333,0.013150,1.028630,-0.006192,-1.055070,-0.006192
sh.600117,2019-08-21,2019-06-30,0.381499,0.618501,0.014974,1.167121,0.072129,7.763626,0.072129
sh.600117,2019-10-29,2019-09-30,0.332042,0.667958,0.017433,1.136927,0.058799,7.160021,0.058799
sh.600117,2020-04-29,2019-12-31,0.336083,0.663917,0.021488,1.381387,0.039267,2.710105,0.039267
sh.600117,2020-04-30,2020-03-31,0.348013,0.651987,0.016347,0.348317,-0.127759,,-0.127759
sh.600117,2020-08-18,2020-06-30,0.357578,0.642422,0.022123,7.161584,0.040875,3.458588,0.040875
sh.600117,2020-10-27,2020-09-30,0.357891,0.642109,0.021716,1.146095,0.089630,8.812696,0.089630
sh.600117,2021-04-28,2020-12-31,0.333770,0.666230,0.026753,2.434180,0.091315,8.497359,0.091315
sh.600117,2021-04-30,2021-03-31,0.333007,0.666993,0.024242,0.893121,0.019225,428.214883,0.019225
sh.600117,2021-08-20,2021-06-30,0.322976,0.677024,0.023722,1.429382,0.091577,25.303280,0.091577
sh.600117,2021-10-29,2021-09-30,0.310027,0.689973,0.018476,0.644605,0.080250,,0.080250
sh.600117,2022-04-30,2021-12-31,0.407523,0.592477,-0.031891,-3.874160,0.114994,,0.114994
sh.600117,2022-04-30,2022-03-31,0.348815,0.651185,-0.046600,-1.205829,0.023500,,0.023500
sh.600117,2022-08-31,2022-06-30,0.408224,0.591776,-0.053978,-1.399506,0.038528,,0.038528
sh.600117,2022-10-29,2022-09-30,0.390637,0.609363,-0.072710,-1.586214,0.051668,,0.051668
sh.600117,2023-04-29,2022-12-31,0.378588,0.621412,-0.099690,-2.119525,0.050321,,0.050321
sh.600117,2023-04-29,2023-03-31,0.384115,0.615885,-0.114411,-1.756276,0.040708,,0.040708
sh.600117,2023-08-31,2023-06-30,0.372027,0.627973,-0.175281,-4.127693,0.031198,,0.031198
sh.600117,2023-10-28,2023-09-30,0.346320,0.653680,-0.190982,-4.215345,0.029858,,0.029858
sh.600126,2018-04-28,2018-03-31,0.405532,0.594468,0.529359,,-0.057311,-0.741696,-0.057311
sh.600126,2018-08-25,2018-06-30,0.432241,0.567759,0.533183,,0.154012,1.743822,0.154012
sh.600126,2018-10-30,2018-09-30,0.465933,0.534067,0.516088,,0.171616,2.092245,0.171616
sh.600126,2019-04-12,2018-12-31,0.434108,0.565892,0.553093,,0.092159,1.245469,0.092159
sh.600126,2019-04-23,2019-03-31,0.457355,0.542645,0.553868,,0.144432,2.123458,0.144432
