code,date1,close1,date2,close2,策略,预期收益率
sh.600307,2023-12-29,1.49,2024-01-09,2.01,做多,0.3489932885906039
sh.600022,2023-12-29,1.37,2024-01-09,1.72,做多,0.25547445255474444
sz.000898,2023-12-29,2.49,2024-01-09,3.05,做多,0.22489959839357412
sh.600307,2023-12-29,1.49,2024-01-08,1.8,做多,0.20805369127516782
sh.600022,2023-12-29,1.37,2024-01-08,1.58,做多,0.15328467153284667
sz.000709,2023-12-29,2.13,2024-01-09,2.43,做多,0.14084507042253536
sz.000898,2023-12-29,2.49,2024-01-08,2.84,做多,0.14056224899598377
sh.601003,2023-12-29,3.17,2024-01-09,3.55,做多,0.11987381703470028
sz.000709,2023-12-29,2.13,2024-01-08,2.31,做多,0.08450704225352121
sh.600399,2023-12-29,9.72,2024-01-09,8.98,做空,0.08240534521158131
sh.601003,2023-12-29,3.17,2024-01-08,3.42,做多,0.07886435331230283
sh.600399,2023-12-29,9.72,2024-01-08,9.03,做空,0.07641196013289052
sz.002110,2023-12-29,4.05,2024-01-09,4.35,做多,0.07407407407407403
sh.601005,2023-12-29,1.39,2024-01-09,1.48,做多,0.06474820143884898
sh.600117,2023-12-29,3.33,2024-01-08,3.16,做空,0.053797468354430354
sh.600019,2023-12-29,5.93,2024-01-09,6.2,做多,0.04553119730185506
sz.002110,2023-12-29,4.05,2024-01-08,4.23,做多,0.0444444444444446
sh.600117,2023-12-29,3.33,2024-01-09,3.19,做空,0.04388714733542324
sh.600019,2023-12-29,5.93,2024-01-08,6.19,做多,0.04384485666104565
sz.002075,2023-12-29,3.82,2024-01-09,3.68,做空,0.03804347826086948
sh.600569,2023-12-29,2.13,2024-01-09,2.21,做多,0.037558685446009425
sz.000825,2023-12-29,3.73,2024-01-09,3.87,做多,0.037533512064343195
sh.601005,2023-12-29,1.39,2024-01-08,1.44,做多,0.03597122302158277
sz.000825,2023-12-29,3.73,2024-01-08,3.86,做多,0.034852546916890055
sh.600569,2023-12-29,2.13,2024-01-08,2.2,做多,0.03286384976525835
sh.600282,2023-12-29,3.7,2024-01-08,3.79,做多,0.024324324324324284
sz.002075,2023-12-29,3.82,2024-01-08,3.73,做空,0.02412868632707771
sz.002318,2023-12-29,19.88,2024-01-08,20.32,做多,0.02213279678068417
sh.600808,2023-12-29,2.72,2024-01-08,2.78,做多,0.02205882352941162
sh.600808,2023-12-29,2.72,2024-01-09,2.75,做多,0.01102941176470581
sz.002318,2023-12-29,19.88,2024-01-09,20.09,做多,0.010563380281690184
sh.600282,2023-12-29,3.7,2024-01-09,3.73,做多,0.008108108108108055
sh.600010,2023-12-29,1.46,2024-01-08,1.45,做空,0.006896551724137937
sh.600010,2023-12-29,1.46,2024-01-09,1.46,做多,0.0
