code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600010,2018-04-27,2018-03-31,0.053744,0.029366,2.235009,1.278689,2.221856
sh.600010,2018-08-29,2018-06-30,0.056684,0.031649,1.449737,1.410853,1.409970
sh.600010,2018-10-31,2018-09-30,0.065136,0.024483,0.644564,0.634304,0.637973
sh.600010,2019-04-19,2018-12-31,0.063502,0.014718,0.623461,0.615044,0.612494
sh.600010,2019-04-30,2019-03-31,0.060470,-0.017722,-0.234215,-0.230216,-0.235025
sh.600010,2019-08-28,2019-06-30,0.061667,-0.011348,-0.264577,-0.266881,-0.264649
sh.600010,2019-10-30,2019-09-30,0.037180,0.005315,-0.483546,-0.483168,-0.483991
sh.600010,2020-04-30,2019-12-31,0.004551,-0.011519,-0.731475,-0.835616,-0.799044
sh.600010,2020-04-30,2020-03-31,-0.011849,-0.009954,-1.544971,-1.542056,-1.664912
sh.600010,2020-08-31,2020-06-30,-0.018868,-0.032953,-0.813701,-0.921053,-0.919274
sh.600010,2020-10-30,2020-09-30,-0.017090,-0.036344,-0.698074,-0.858238,-0.859379
sh.600010,2021-04-30,2020-12-31,0.001619,-0.019474,-0.259944,-0.258333,-0.392215
sh.600010,2021-04-30,2021-03-31,0.024537,0.049516,4.266670,3.017241,3.266618
sh.600010,2021-08-27,2021-06-30,0.057522,0.091932,15.130958,32.666667,31.881361
sh.600010,2021-10-30,2021-09-30,0.073056,0.062774,10.832966,21.270270,21.598084
sh.600010,2022-04-15,2021-12-31,0.046840,0.025971,3.787299,6.089888,6.060948
sh.600010,2022-04-28,2022-03-31,0.037282,0.001641,-0.721808,-0.376068,-0.549224
sh.600010,2022-08-26,2022-06-30,-0.013518,-0.007788,-0.929998,-0.848933,-0.848361
sh.600010,2022-10-28,2022-09-30,-0.052658,-0.029084,-1.278655,-1.199029,-1.197482
sh.600010,2023-04-22,2022-12-31,-0.051341,-0.008420,-1.456168,-1.255151,-1.254655
sh.600010,2023-04-28,2023-03-31,-0.051127,-0.007447,-0.752638,-0.178082,-0.121477
sh.600010,2023-08-25,2023-06-30,-0.036645,0.016851,-0.703386,-0.010870,-0.022763
sh.600010,2023-10-27,2023-09-30,-0.013801,0.038279,1.034573,1.640244,1.636554
sh.600019,2018-04-28,2018-03-31,0.101368,-0.041835,0.328144,0.352941,0.326025
sh.600019,2018-08-28,2018-06-30,0.088572,-0.013123,0.617598,0.607143,0.622349
sh.600019,2018-10-30,2018-09-30,0.088461,0.009392,0.372359,0.339623,0.349586
sh.600019,2019-04-25,2018-12-31,0.074985,-0.043097,0.140910,0.127907,0.124924
sh.600019,2019-04-25,2019-03-31,0.057527,-0.036492,-0.467539,-0.478261,-0.457063
sh.600019,2019-08-23,2019-06-30,0.040173,-0.034457,-0.385655,-0.377778,-0.381867
sh.600019,2019-10-26,2019-09-30,0.021673,-0.015141,-0.440193,-0.436620,-0.436456
sh.600019,2020-04-29,2019-12-31,0.006483,0.011264,-0.415516,-0.416667,-0.420795
sh.600019,2020-04-29,2020-03-31,0.002121,0.015257,-0.400709,-0.416667,-0.436336
sh.600019,2020-08-28,2020-06-30,0.028738,0.039210,-0.369193,-0.357143,-0.368648
sh.600019,2020-10-30,2020-09-30,0.032055,0.034088,-0.130108,-0.125000,-0.128629
sh.600019,2021-04-27,2020-12-31,0.034794,0.029738,0.008162,0.017857,0.009055
sh.600019,2021-04-27,2021-03-31,0.057148,0.075259,2.400445,2.428571,2.478466
sh.600019,2021-08-28,2021-06-30,0.082247,0.076762,2.731565,2.777778,2.767397
sh.600019,2021-10-30,2021-09-30,0.052161,0.127583,1.754694,1.800000,1.745311
sh.600019,2022-04-29,2021-12-31,0.033883,0.063212,0.882485,0.877193,0.861468
sh.600019,2022-04-29,2022-03-31,0.026708,0.064030,-0.280032,-0.291667,-0.304086
sh.600019,2022-08-31,2022-06-30,0.013855,0.071916,-0.462174,-0.485294,-0.483623
sh.600019,2022-10-26,2022-09-30,0.032094,-0.005834,-0.544041,-0.571429,-0.561664
sh.600019,2023-04-28,2022-12-31,0.019322,0.046928,-0.469707,-0.485981,-0.484307
sh.600019,2023-04-28,2023-03-31,0.009137,-0.005788,-0.499958,-0.529412,-0.505648
sh.600019,2023-08-31,2023-06-30,0.018972,-0.074939,-0.420886,-0.428571,-0.415714
sh.600019,2023-10-25,2023-09-30,0.014400,-0.052871,-0.120003,-0.095238,-0.117643
sh.600022,2018-04-27,2018-03-31,0.133446,0.236006,0.359112,0.057728,0.373184
sh.600022,2018-08-17,2018-06-30,0.189714,0.381265,1.800477,1.274481,1.817366
sh.600022,2018-10-30,2018-09-30,0.198442,0.324950,1.361835,0.965302,1.254202
