code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sh.600010,2018-04-27,2018-03-31,4.046842,22.239565,0.516452,174.266022,0.312746,0.088601
sh.600010,2018-08-29,2018-06-30,9.936467,18.115091,1.378122,130.612556,0.752251,0.215914
sh.600010,2018-10-31,2018-09-30,13.078368,20.644777,2.039730,132.370433,1.130890,0.327691
sh.600010,2019-04-19,2018-12-31,7.624551,47.215897,2.819190,127.696235,1.558184,0.454826
sh.600010,2019-04-30,2019-03-31,1.514792,59.414116,0.535632,168.025679,0.315654,0.091846
sh.600010,2019-08-28,2019-06-30,3.357557,53.610403,1.196775,150.404215,0.699112,0.206216
sh.600010,2019-10-30,2019-09-30,5.294631,50.995051,1.837506,146.938298,1.037783,0.315151
sh.600010,2020-04-30,2019-12-31,8.786574,40.971601,2.717282,132.485307,1.471606,0.428524
sh.600010,2020-04-30,2020-03-31,3.516182,25.595942,0.591460,152.165754,0.335854,0.091251
sh.600010,2020-08-31,2020-06-30,7.443944,24.180730,1.304986,137.932483,0.730108,0.194484
sh.600010,2020-10-30,2020-09-30,10.106897,26.714432,1.974059,136.774019,1.091373,0.298799
sh.600010,2021-04-30,2020-12-31,13.334454,26.997731,2.791132,128.979938,1.473227,0.406895
sh.600010,2021-04-30,2021-03-31,3.236128,27.811014,0.798978,112.643938,0.416355,0.119164
sh.600010,2021-08-27,2021-06-30,6.909400,26.051467,1.679689,107.162686,0.907217,0.265128
sh.600010,2021-10-30,2021-09-30,13.713296,19.688921,2.786591,96.892571,1.488236,0.431615
sh.600010,2022-04-15,2021-12-31,16.162856,22.273291,4.033113,89.261071,2.134515,0.589911
sh.600010,2022-04-28,2022-03-31,3.451229,26.077665,0.959531,93.795863,0.475173,0.135531
sh.600010,2022-08-26,2022-06-30,7.035616,25.584115,1.933635,93.088940,0.943166,0.273730
sh.600010,2022-10-28,2022-09-30,10.027343,26.926374,3.012828,89.616795,1.419645,0.393467
sh.600010,2023-04-22,2022-12-31,14.235702,25.288532,3.612150,99.665015,1.806659,0.489815
sh.600010,2023-04-28,2023-03-31,3.383894,26.596576,0.882653,101.959896,0.440392,0.116116
sh.600010,2023-08-25,2023-06-30,7.081190,25.419455,1.892023,95.137421,0.857209,0.236146
sh.600010,2023-10-27,2023-09-30,10.748618,25.119509,2.807565,96.167545,1.318082,0.356891
sh.600019,2018-04-28,2018-03-31,4.939009,18.222280,1.333908,67.470918,0.498731,0.191907
sh.600019,2018-08-28,2018-06-30,11.725873,15.350669,3.181718,56.573207,1.101585,0.423688
sh.600019,2018-10-30,2018-09-30,17.082394,15.805747,4.599230,58.705476,1.687422,0.644533
sh.600019,2019-04-25,2018-12-31,7.107514,50.650620,6.397680,56.270402,2.409057,0.890621
sh.600019,2019-04-25,2019-03-31,1.586711,56.721102,1.345275,66.900801,0.527462,0.193737
sh.600019,2019-08-23,2019-06-30,3.299780,54.549097,2.899606,62.077396,1.134328,0.418148
sh.600019,2019-10-26,2019-09-30,5.206817,51.855093,4.455935,60.593347,1.722768,0.639125
sh.600019,2020-04-29,2019-12-31,10.935307,32.920887,6.353418,56.662417,2.330372,0.865646
sh.600019,2020-04-29,2020-03-31,5.024476,17.912314,1.202644,74.835096,0.446360,0.175331
sh.600019,2020-08-28,2020-06-30,10.607469,16.969175,2.796696,64.361651,0.930030,0.375855
sh.600019,2020-10-30,2020-09-30,16.229249,16.636629,4.204986,64.209488,1.416392,0.576448
sh.600019,2021-04-27,2020-12-31,25.566950,14.080678,6.350708,56.686590,2.053868,0.817513
sh.600019,2021-04-27,2021-03-31,7.138665,12.607399,1.616243,55.684689,0.553441,0.230191
sh.600019,2021-08-28,2021-06-30,14.780669,12.178069,3.570073,50.419132,1.199002,0.504439
sh.600019,2021-10-30,2021-09-30,21.137090,12.773755,4.956962,54.468849,1.701340,0.736015
sh.600019,2022-04-29,2021-12-31,19.225529,18.725103,7.114428,50.601397,2.470474,0.991939
sh.600019,2022-04-29,2022-03-31,3.293505,27.326507,1.504347,59.826606,0.543977,0.222246
sh.600019,2022-08-31,2022-06-30,6.609207,27.234734,3.095950,58.140469,1.097860,0.467762
sh.600019,2022-10-26,2022-09-30,10.194620,26.484557,5.124318,52.689939,1.744280,0.716051
sh.600019,2023-04-28,2022-12-31,13.791113,26.103768,6.945160,51.834360,2.276422,0.947947
sh.600019,2023-04-28,2023-03-31,3.209086,28.045370,1.429988,62.937063,0.453070,0.199251
sh.600019,2023-08-31,2023-06-30,6.602180,27.263722,3.352414,53.692877,1.037363,0.439200
sh.600019,2023-10-25,2023-09-30,10.201202,26.467470,4.951342,54.531133,1.541331,0.657730
sh.600022,2018-04-27,2018-03-31,47.150207,1.908793,2.804834,32.087460,0.583868,0.205092
sh.600022,2018-08-17,2018-06-30,53.711439,3.351241,5.661213,31.795307,1.144533,0.406668
sh.600022,2018-10-30,2018-09-30,192.298049,1.404070,9.015803,29.947415,1.787672,0.650208
sh.600022,2019-03-29,2018-12-31,11.628921,30.957300,10.615633,33.912251,2.383791,0.867401
sh.600022,2019-04-26,2019-03-31,1.949683,46.161349,2.483131,36.244570,0.547635,0.194773
sh.600022,2019-08-23,2019-06-30,4.169389,43.171794,5.568486,32.324763,1.267805,0.445517
sh.600022,2019-10-30,2019-09-30,7.112127,37.963325,9.049763,29.835037,2.093790,0.729229
sh.600022,2020-03-20,2019-12-31,14.130727,25.476396,12.716926,28.308727,3.071679,1.005255
sh.600022,2020-04-29,2020-03-31,5.045812,17.836574,3.654865,24.624712,0.957133,0.276057
sh.600022,2020-08-28,2020-06-30,12.318744,14.611879,7.955866,22.624815,2.038130,0.576538
sh.600022,2020-10-30,2020-09-30,22.190579,12.167325,12.491024,21.615521,3.290597,0.922814
sh.600022,2021-03-31,2020-12-31,28.230740,12.752057,16.374739,21.985083,4.651842,1.265268
sh.600022,2021-04-29,2021-03-31,8.501868,10.585909,4.704770,19.129520,1.322356,0.376256
sh.600022,2021-08-27,2021-06-30,22.166623,8.120317,9.745448,18.470161,2.784131,0.817389
sh.600022,2021-10-29,2021-09-30,31.465174,8.580916,13.679044,19.738221,4.192680,1.215268
sh.600022,2022-03-23,2021-12-31,47.035504,7.653793,18.120827,19.866643,5.810241,1.571988
sh.600022,2022-04-29,2022-03-31,12.143077,7.411631,3.612544,24.913188,1.181591,0.328589
sh.600022,2022-08-31,2022-06-30,45.139160,3.987668,7.770020,23.165963,2.680610,0.735620
sh.600022,2022-10-29,2022-09-30,61.611345,4.382310,12.233219,22.071050,4.210187,1.080299
sh.600022,2023-03-31,2022-12-31,67.628787,5.323177,17.415395,20.671366,5.640960,1.445202
sh.600022,2023-04-28,2023-03-31,20.343412,4.424037,4.481646,20.082114,1.529006,0.358220
sh.600022,2023-08-31,2023-06-30,40.420813,4.453151,9.027998,19.937971,2.935254,0.683732
sh.600022,2023-10-28,2023-09-30,62.900614,4.292486,13.193803,20.464157,4.425323,1.004653
sh.600117,2018-04-28,2018-03-31,2.725968,33.015796,0.457277,196.817128,0.242046,0.067959
sh.600117,2018-08-30,2018-06-30,5.841162,30.815787,0.943166,190.846647,0.502260,0.139257
sh.600117,2018-10-31,2018-09-30,9.588013,28.160162,1.491768,180.993235,0.719267,0.206759
sh.600117,2019-04-29,2018-12-31,10.491715,34.312789,2.156173,166.962459,0.985519,0.283912
sh.600117,2019-04-30,2019-03-31,2.685652,33.511414,0.552232,162.975052,0.242697,0.081423
sh.600117,2019-08-21,2019-06-30,6.517366,27.618521,1.266258,142.151101,0.561769,0.190003
sh.600117,2019-10-29,2019-09-30,11.550606,23.375397,1.922080,140.472811,0.944261,0.295816
sh.600117,2020-04-29,2019-12-31,17.260789,20.856520,2.999371,120.025159,1.403140,0.442251
sh.600117,2020-04-30,2020-03-31,2.303834,39.065313,0.622724,144.526320,0.234700,0.080286
sh.600117,2020-08-18,2020-06-30,5.648560,31.866526,1.561595,115.266756,0.574652,0.199364
sh.600117,2020-10-27,2020-09-30,8.235201,32.786085,2.486598,108.582083,0.936994,0.325213
sh.600117,2021-04-28,2020-12-31,12.973679,27.748490,3.668094,98.143609,1.449869,0.485621
sh.600117,2021-04-30,2021-03-31,3.013751,29.863113,0.860352,104.608330,0.368601,0.122888
sh.600117,2021-08-20,2021-06-30,7.227088,24.906298,1.989495,90.475218,0.883142,0.290074
sh.600117,2021-10-29,2021-09-30,11.904808,22.679913,3.157497,85.510775,1.425601,0.459405
sh.600117,2022-04-30,2021-12-31,7.061081,50.983697,4.757587,75.668606,1.699979,0.626938
sh.600117,2022-04-30,2022-03-31,1.843394,48.822992,1.301292,69.162029,0.452026,0.171641
sh.600117,2022-08-31,2022-06-30,2.283194,78.836920,2.425022,74.226125,0.742245,0.302739
sh.600117,2022-10-29,2022-09-30,3.170579,85.157960,3.283960,82.217818,1.000538,0.399554
