code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600010,2018-04-27,2018-03-31,0.012827,0.048944,0.183208,635619393.970000,0.054853,,45585032648.00,22038833821.00
sh.600010,2018-08-29,2018-06-30,0.028350,0.044765,0.152860,1418208652.620000,0.063394,,45585032648.00,31677211587.00
sh.600010,2018-10-31,2018-09-30,0.045538,0.047866,0.161288,2310342332.810000,0.064903,,45585032648.00,31677211587.00
sh.600010,2019-04-19,2018-12-31,0.065297,0.049556,0.157213,3329556651.320000,0.072913,67187560567.920000,45585032648.00,31677211587.00
sh.600010,2019-04-30,2019-03-31,0.009240,0.036210,0.165453,486747943.910000,0.069630,,45585032648.00,31677211587.00
sh.600010,2019-08-28,2019-06-30,0.019619,0.034412,0.155260,1042982565.570000,0.064691,,45585032648.00,31677211587.00
sh.600010,2019-10-30,2019-09-30,0.022379,0.025450,0.139844,1193185753.910000,0.048452,,45585032648.00,31677211587.00
sh.600010,2020-04-30,2019-12-31,0.012701,0.014103,0.128612,894067783.850000,0.014652,63397466567.380000,45585032648.00,31677211587.00
sh.600010,2020-04-30,2020-03-31,-0.006166,-0.020078,0.115887,-265263275.020000,-0.003143,,45585032648.00,31677211587.00
sh.600010,2020-08-31,2020-06-30,0.001595,0.006951,0.129404,194306601.080000,-0.006349,,45585032648.00,31677211587.00
sh.600010,2020-10-30,2020-09-30,0.003167,0.008303,0.128540,360253869.980000,-0.007760,,45585032648.00,31677211587.00
sh.600010,2021-04-30,2020-12-31,0.007696,0.011164,0.096658,661660233.360000,0.008906,59266130291.070000,45585032648.00,31677211587.00
sh.600010,2021-04-30,2021-03-31,0.013797,0.049508,0.137674,866527653.570000,0.032121,,45585032648.00,31677211587.00
sh.600010,2021-08-27,2021-06-30,0.050953,0.079477,0.167286,3134351619.030000,0.067703,,45585032648.00,31677211587.00
sh.600010,2021-10-30,2021-09-30,0.068992,0.066611,0.146194,4262871780.990000,0.088114,,45585032648.00,31677211587.00
sh.600010,2022-04-15,2021-12-31,0.053053,0.036754,0.111824,3167565113.970000,0.062881,86183145818.410000,45585032648.00,31677211587.00
sh.600010,2022-04-28,2022-03-31,0.005969,0.011947,0.076529,241061032.000000,0.054034,,45585032648.00,31677211587.00
sh.600010,2022-08-26,2022-06-30,0.007606,0.005343,0.084383,219409917.380000,0.011436,3147000000.000000,45585032648.00,31677211587.00
sh.600010,2022-10-28,2022-09-30,-0.013689,-0.020408,0.059059,-1187869584.540000,-0.036360,,45585032648.00,31677211587.00
sh.600010,2023-04-22,2022-12-31,-0.013556,-0.020021,0.077327,-1444940538.040000,-0.016013,72171753910.700000,45585032648.00,31677211587.00
sh.600010,2023-04-28,2023-03-31,0.005527,0.003477,0.103558,59629435.260000,-0.016895,,45585032648.00,31677211587.00
sh.600010,2023-08-25,2023-06-30,0.007841,0.001863,0.107653,66306889.100000,-0.016289,,45404942248.00,31497121187.00
sh.600010,2023-10-27,2023-09-30,0.009010,0.000766,0.102005,41068533.120000,0.010814,,45404942248.00,31497121187.00
sh.600019,2018-04-28,2018-03-31,0.030086,0.082048,0.163478,5534415617.650000,0.916328,,22267915125.00,22089726225.00
sh.600019,2018-08-28,2018-06-30,0.060795,0.073391,0.149857,10901132343.000000,1.033324,148534090141.080000,22267915125.00,22101086925.00
sh.600019,2018-10-30,2018-09-30,0.093912,0.076256,0.155493,17181942991.180000,1.044077,,22267915125.00,22101086925.00
sh.600019,2019-04-25,2018-12-31,0.126410,0.076377,0.149926,23278140884.900000,0.968441,304779462646.470000,22267915125.00,22101086925.00
sh.600019,2019-04-25,2019-03-31,0.015322,0.045074,0.101682,2946859612.760000,0.865072,,22276134075.00,22101086925.00
sh.600019,2019-08-23,2019-06-30,0.035534,0.047539,0.110530,6697051648.290000,0.796502,140230088268.720000,22276134075.00,22101086925.00
sh.600019,2019-10-26,2019-09-30,0.050508,0.044351,0.107181,9618568334.320000,0.659594,,22274460375.00,22101086925.00
sh.600019,2020-04-29,2019-12-31,0.070026,0.046191,0.108791,13469014497.360000,0.557734,291593978707.950000,22274460375.00,22101086925.00
sh.600019,2020-04-29,2020-03-31,0.008596,0.029447,0.104481,1766026915.650000,0.504410,,22271288125.00,22155982625.00
sh.600019,2020-08-28,2020-06-30,0.022584,0.034620,0.096874,4492743472.460000,0.452881,130177000000.000000,22271288125.00,22155982625.00
sh.600019,2020-10-30,2020-09-30,0.043869,0.043662,0.108101,8733347054.870000,0.505723,,22271288125.00,22155982625.00
sh.600019,2021-04-27,2020-12-31,0.069955,0.049301,0.108350,13985383322.760000,0.569245,284465000000.000000,22269447650.00,22155982625.00
sh.600019,2021-04-27,2021-03-31,0.028654,0.072322,0.145231,6046599199.950000,0.740711,,22269362650.00,22212353437.00
sh.600019,2021-08-28,2021-06-30,0.080361,0.090498,0.159423,16764965709.950000,1.066656,185747000000.000000,22268589450.00,22212353437.00
sh.600019,2021-10-30,2021-09-30,0.115453,0.086611,0.155142,24097141413.290000,1.185642,,22268589450.00,22212353437.00
sh.600019,2022-04-29,2021-12-31,0.125935,0.072609,0.132568,26455020746.380000,1.061234,365495000000.000000,22268411550.00,22212353437.00
sh.600019,2022-04-29,2022-03-31,0.019353,0.050737,0.095823,4362334808.150000,0.988002,,22268411550.00,22212353437.00
sh.600019,2022-08-31,2022-06-30,0.040529,0.049175,0.100141,9031134899.400000,0.733543,184311000000.000000,22268411550.00,21838082437.00
sh.600019,2022-10-26,2022-09-30,0.048952,0.039487,0.088968,10987306606.370000,0.516676,,22268411550.00,21890910819.00
sh.600019,2023-04-28,2022-12-31,0.063217,0.038145,0.058420,14028915936.760000,0.547276,369163000000.000000,22268189984.00,21890910819.00
sh.600019,2023-04-28,2023-03-31,0.009433,0.027752,0.052748,2181349061.490000,0.462656,,22262200234.00,21893918984.00
sh.600019,2023-08-31,2023-06-30,0.023236,0.030791,0.050960,5230056402.740000,0.401931,170215000000.000000,22262200234.00,21857918984.00
sh.600019,2023-10-25,2023-09-30,0.042478,0.037914,0.061634,9668798137.290000,0.497413,,22262200234.00,21857918984.00
sh.600022,2018-04-27,2018-03-31,0.033783,0.053291,0.091064,629045516.710000,0.191233,,10946549616.00,10688613107.00
sh.600022,2018-08-17,2018-06-30,0.088662,0.069513,0.109490,1729308505.840000,0.274685,24877544358.000000,10946549616.00,10688613107.00
sh.600022,2018-10-30,2018-09-30,0.125345,0.064116,0.119717,2599750796.990000,0.298709,,10946549616.00,10946549616.00
sh.600022,2019-03-29,2018-12-31,0.110149,0.041830,0.105066,2338673024.790000,0.192446,47492760523.490000,10946549616.00,10946549616.00
sh.600022,2019-04-26,2019-03-31,0.007444,0.011609,0.055134,160708752.610000,0.149443,,10946549616.00,10946549616.00
sh.600022,2019-08-23,2019-06-30,0.028221,0.022800,0.078585,737677135.670000,0.091914,,10946549616.00,10946549616.00
sh.600022,2019-10-30,2019-09-30,0.023975,0.014014,0.067590,742473607.470000,0.016268,,10946549616.00,10946549616.00
sh.600022,2020-03-20,2019-12-31,0.028306,0.012740,0.065973,905674128.250000,0.052899,60901560886.870000,10946549616.00,10946549616.00
sh.600022,2020-04-29,2020-03-31,0.001402,0.008088,0.055580,156840369.630000,0.041776,,10946549616.00,10946549616.00
sh.600022,2020-08-28,2020-06-30,0.016632,0.016174,0.059599,649371150.990000,0.031698,,10946549616.00,10946549616.00
sh.600022,2020-10-30,2020-09-30,0.028145,0.018065,0.064396,1154732813.240000,0.061888,,10946549616.00,10946549616.00
sh.600022,2021-03-31,2020-12-31,0.034510,0.018091,0.064492,1579634389.370000,0.066017,75983415343.590000,10946549616.00,10946549616.00
sh.600022,2021-04-29,2021-03-31,0.028760,0.036367,0.089699,970138971.290000,0.119717,,10946549616.00,10946549616.00
sh.600022,2021-08-27,2021-06-30,0.095671,0.054491,0.107698,3205907057.750000,0.226535,42790435370.260000,10946549616.00,10946549616.00
sh.600022,2021-10-29,2021-09-30,0.127686,0.050409,0.105035,4400250013.730000,0.273045,,10946549616.00,10946549616.00
sh.600022,2022-03-23,2021-12-31,0.057045,0.026717,0.085076,2961633445.200000,0.112198,97114665842.240000,10946549616.00,10946549616.00
sh.600022,2022-04-29,2022-03-31,0.026553,0.036957,0.079276,891062826.140000,0.109763,,10946549616.00,10946549616.00
sh.600022,2022-08-31,2022-06-30,0.049572,0.033288,0.075015,1782588021.910000,0.020462,53550286221.830000,10946549616.00,10946549616.00
sh.600022,2022-10-29,2022-09-30,0.012304,0.012602,0.060021,965282458.810000,-0.124098,,10946549616.00,10946549616.00
sh.600022,2023-03-31,2022-12-31,0.025369,0.013857,0.055585,1417464795.090000,0.051889,102289420048.800000,10698849554.00,10698849554.00
sh.600022,2023-04-28,2023-03-31,-0.014261,-0.011645,0.029416,-288215465.610000,-0.032183,,10698849554.00,10698849554.00
sh.600022,2023-08-31,2023-06-30,-0.011578,-0.001277,0.036503,-59979662.060000,-0.074104,39543946871.810000,10698849554.00,10698849554.00
sh.600022,2023-10-28,2023-09-30,-0.015761,-0.000700,0.040276,-47858357.990000,-0.011844,,10698849554.00,10698849554.00
sh.600117,2018-04-28,2018-03-31,0.003581,0.008096,0.165366,13407284.950000,0.057631,,1045118252.00,741219252.00
sh.600117,2018-08-30,2018-06-30,0.004002,0.002453,0.147661,8303104.560000,0.058872,3347420958.950000,1045118252.00,741219252.00
sh.600117,2018-10-31,2018-09-30,-0.202338,-0.113903,0.072241,-578281785.150000,-0.339778,,1045118252.00,741219252.00
sh.600117,2019-04-29,2018-12-31,-0.968838,-0.300318,0.002119,-2038114789.960000,-1.957816,6682724513.800000,1045118252.00,741219252.00
sh.600117,2019-04-30,2019-03-31,0.014650,0.005869,0.120916,11071102.640000,-1.953171,,1045118252.00,741219252.00
sh.600117,2019-08-21,2019-06-30,0.051905,0.009291,0.134116,40763250.810000,-1.913902,4256785027.710000,1045118252.00,741219252.00
sh.600117,2019-10-29,2019-09-30,0.075955,0.008212,0.125368,54078534.330000,-1.323722,,1045118252.00,741219252.00
