date,time,code,open,high,low,close,volume,amount,adjustflag
2017-07-03,20170703093500000,sh.601398,5.2400,5.2700,5.2300,5.2600,3955800,20775216.0000,3
2017-07-03,20170703094000000,sh.601398,5.2500,5.2600,5.2500,5.2500,2990100,15712954.0000,3
2017-07-03,20170703094500000,sh.601398,5.2500,5.2600,5.2300,5.2300,5799600,30442188.0000,3
2017-07-03,20170703095000000,sh.601398,5.2300,5.2500,5.2200,5.2300,4533900,23739124.0000,3
2017-07-03,20170703095500000,sh.601398,5.2400,5.2500,5.2300,5.2500,1338300,7012293.0000,3
2017-07-03,20170703100000000,sh.601398,5.2400,5.2500,5.2300,5.2400,1361800,7135675.0000,3
2017-07-03,20170703100500000,sh.601398,5.2300,5.2400,5.2300,5.2300,1075100,5629707.0000,3
2017-07-03,20170703101000000,sh.601398,5.2300,5.2400,5.2200,5.2200,3216600,16828340.0000,3
2017-07-03,20170703101500000,sh.601398,5.2200,5.2300,5.2200,5.2200,2197500,11481825.0000,3
2017-07-03,20170703102000000,sh.601398,5.2200,5.2300,5.2200,5.2200,3079300,16086212.0000,3
2017-07-03,20170703102500000,sh.601398,5.2300,5.2500,5.2200,5.2400,2363200,12377208.0000,3
2017-07-03,20170703103000000,sh.601398,5.2400,5.2500,5.2300,5.2500,855900,4486753.0000,3
2017-07-03,20170703103500000,sh.601398,5.2500,5.2500,5.2300,5.2400,1397700,7324310.0000,3
2017-07-03,20170703104000000,sh.601398,5.2400,5.2400,5.2300,5.2300,1243700,6511394.0000,3
2017-07-03,20170703104500000,sh.601398,5.2400,5.2400,5.2300,5.2300,1899300,9939706.0000,3
2017-07-03,20170703105000000,sh.601398,5.2300,5.2400,5.2200,5.2400,1227800,6419276.0000,3
2017-07-03,20170703105500000,sh.601398,5.2400,5.2400,5.2200,5.2300,506500,2650563.0000,3
2017-07-03,20170703110000000,sh.601398,5.2300,5.2400,5.2300,5.2300,1030700,5395001.0000,3
2017-07-03,20170703110500000,sh.601398,5.2300,5.2400,5.2300,5.2300,872600,4568220.0000,3
2017-07-03,20170703111000000,sh.601398,5.2400,5.2500,5.2300,5.2300,4138500,21682120.0000,3
2017-07-03,20170703111500000,sh.601398,5.2300,5.2400,5.2200,5.2200,803800,4205814.0000,3
2017-07-03,20170703112000000,sh.601398,5.2200,5.2400,5.2200,5.2300,3391400,17762520.0000,3
2017-07-03,20170703112500000,sh.601398,5.2400,5.2500,5.2300,5.2400,1939000,10157126.0000,3
2017-07-03,20170703113000000,sh.601398,5.2400,5.2500,5.2300,5.2500,2880800,15105483.0000,3
2017-07-03,20170703130500000,sh.601398,5.2400,5.2500,5.2300,5.2300,1322300,6926750.0000,3
2017-07-03,20170703131000000,sh.601398,5.2300,5.2400,5.2200,5.2300,1213900,6342812.0000,3
2017-07-03,20170703131500000,sh.601398,5.2200,5.2400,5.2200,5.2200,2233100,11670045.0000,3
